Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Afghanistan,39354,1462,32789,5103,14,0,43,3.71,83.32,4.46,39231,123,0.31,Eastern Mediterranean
Albania,13649,387,7847,5415,131,3,115,2.84,57.49,4.93,12787,862,6.74,Europe
Algeria,51530,1736,36174,13620,162,10,111,3.37,70.2,4.8,50400,1130,2.24,Africa
Andorra,2050,53,1432,565,84,0,167,2.59,69.85,3.7,1753,297,16.94,Europe
Angola,4972,183,1941,2848,67,4,108,3.68,39.04,9.43,4363,609,13.96,Africa
Antarctica,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
Antigua and Barbuda,101,3,92,6,0,0,0,2.97,91.09,3.26,97,4,4.12,Americas
Argentina,751001,16937,594645,139419,14392,418,8788,2.26,79.18,2.85,664799,86202,12.97,Americas
Armenia,50359,959,44001,5399,458,1,152,1.9,87.37,2.18,47877,2482,5.18,Europe
Australia,27096,888,21655,4553,18,2,32,3.28,79.92,4.1,26980,116,0.43,Western Pacific
Austria,44813,799,35644,8370,772,3,728,1.78,79.54,2.24,39984,4829,12.08,Europe
Azerbaijan,40229,591,37954,1684,110,1,127,1.47,94.34,1.56,39524,705,1.78,Europe
Bahamas,4123,96,2206,1821,220,5,134,2.33,53.5,4.35,3618,505,13.96,Americas
Bahrain,70864,251,64838,5775,442,5,571,0.35,91.5,0.39,67014,3850,5.75,Eastern Mediterranean
Bangladesh,363479,5251,275487,82741,1436,32,1789,1.44,75.79,1.91,353844,9635,2.72,South-East Asia
Barbados,190,7,179,4,0,0,1,3.68,94.21,3.91,189,1,0.53,Americas
Belarus,78631,833,74525,3273,371,5,205,1.06,94.78,1.12,76357,2274,2.98,Europe
Belgium,118452,10016,19454,88982,1337,15,68,8.46,16.42,51.49,106887,11565,10.82,Europe
Belize,1992,27,1246,719,101,3,38,1.36,62.55,2.17,1706,286,16.76,Americas
Benin,2357,41,1973,343,17,1,13,1.74,83.71,2.08,2325,32,1.38,Africa
Bhutan,282,0,222,60,1,0,3,0.0,78.72,0.0,261,21,8.05,South-East Asia
Bolivia,135311,7965,95529,31817,670,34,634,5.89,70.6,8.34,131990,3321,2.52,Americas
Bosnia and Herzegovina,27469,856,20616,5997,243,13,294,3.12,75.05,4.15,26081,1388,5.32,Europe
Botswana,3172,16,710,2446,0,0,0,0.5,22.38,2.25,2567,605,23.57,Africa
Brazil,4817365,144078,4274774,398513,32901,982,37622,2.99,88.74,3.37,4631915,185450,4.0,Americas
Brunei,146,3,142,1,0,0,0,2.05,97.26,2.11,145,1,0.69,Western Pacific
Bulgaria,20833,825,14634,5374,286,12,145,3.96,70.24,5.64,19283,1550,8.04,Europe
