Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of countries
2020-01-22,557,17,30,510,0,0,0,3.05,5.39,56.67,6
2020-01-23,657,18,32,607,100,1,2,2.74,4.87,56.25,9
2020-01-24,944,26,39,879,287,8,7,2.75,4.13,66.67,10
2020-01-25,1437,42,42,1353,493,16,3,2.92,2.92,100.0,12
2020-01-26,2120,56,56,2008,683,14,14,2.64,2.64,100.0,13
2020-01-27,2929,82,65,2782,809,26,9,2.8,2.22,126.15,16
2020-01-28,5580,131,108,5341,2651,49,43,2.35,1.94,121.3,16
2020-01-29,6169,133,126,5910,589,2,18,2.16,2.04,105.56,18
2020-01-30,8237,171,143,7923,2068,38,17,2.08,1.74,119.58,20
2020-01-31,9927,213,222,9492,1690,42,79,2.15,2.24,95.95,23
2020-02-01,12038,259,284,11495,2111,46,62,2.15,2.36,91.2,25
2020-02-02,16787,362,463,15962,4749,103,179,2.16,2.76,78.19,25
2020-02-03,19887,426,608,18853,3100,64,145,2.14,3.06,70.07,25
2020-02-04,23899,492,826,22581,4012,66,218,2.06,3.46,59.56,26
2020-02-05,27644,564,1077,26003,3745,72,251,2.04,3.9,52.37,26
2020-02-06,30806,634,1424,28748,3162,70,347,2.06,4.62,44.52,26
2020-02-07,34400,719,1908,31773,3594,85,484,2.09,5.55,37.68,27
2020-02-08,37131,806,2471,33854,2731,87,563,2.17,6.65,32.62,27
2020-02-09,40162,906,3060,36196,3031,100,589,2.26,7.62,29.61,27
2020-02-10,42771,1013,3717,38041,2609,107,657,2.37,8.69,27.25,27
2020-02-11,44814,1113,4418,39283,2043,100,701,2.48,9.86,25.19,27
2020-02-12,45232,1118,4850,39264,418,5,432,2.47,10.72,23.05,27
2020-02-13,60384,1371,5929,53084,15152,253,1079,2.27,9.82,23.12,27
2020-02-14,66912,1523,7616,57773,6528,152,1687,2.28,11.38,20.0,28
2020-02-15,69055,1666,8904,58485,2143,143,1288,2.41,12.89,18.71,28
2020-02-16,71238,1770,10321,59147,2183,104,1417,2.48,14.49,17.15,28
2020-02-17,73273,1868,11955,59450,2035,98,1634,2.55,16.32,15.63,28
2020-02-18,75155,2008,13693,59454,1882,140,1738,2.67,18.22,14.66,28
2020-02-19,75655,2123,15397,58135,500,115,1704,2.81,20.35,13.79,29
2020-02-20,76216,2248,17374,56594,561,125,1977,2.95,22.8,12.94,29
2020-02-21,76846,2252,17971,56623,630,4,597,2.93,23.39,12.53,31
2020-02-22,78608,2459,21856,54293,1762,207,3885,3.13,27.8,11.25,31
2020-02-23,78990,2470,22307,54213,382,11,451,3.13,28.24,11.07,32
2020-02-24,79558,2630,24049,52879,568,160,1742,3.31,30.23,10.94,37
2020-02-25,80412,2710,26654,51048,854,80,2605,3.37,33.15,10.17,42
2020-02-26,81385,2771,29091,49523,973,61,2437,3.4,35.74,9.53,48
2020-02-27,82730,2814,31934,47982,1345,43,2843,3.4,38.6,8.81,51
2020-02-28,84154,2873,35319,45962,1424,59,3385,3.41,41.97,8.13,56
2020-02-29,86030,2943,38327,44760,1876,70,3008,3.42,44.55,7.68,62
2020-03-01,88410,2997,41223,44190,2380,54,2896,3.39,46.63,7.27,67
2020-03-02,90393,3086,44098,43209,1983,89,2875,3.41,48.78,7.0,74
2020-03-03,93004,3160,46690,43154,2611,74,2592,3.4,50.2,6.77,77
2020-03-04,95329,3255,49629,42445,2325,95,2939,3.41,52.06,6.56,81
2020-03-05,98046,3348,52247,42451,2717,93,2618,3.41,53.29,6.41,85
2020-03-06,101976,3461,54309,44206,3930,113,2062,3.39,53.26,6.37,94
2020-03-07,106122,3566,56799,45757,4146,105,2490,3.36,53.52,6.28,95
2020-03-08,109972,3807,59133,47032,3850,241,2334,3.46,53.77,6.44,100
2020-03-09,114299,3997,60933,49369,4327,190,1800,3.5,53.31,6.56,102
2020-03-10,119108,4273,62840,51995,4809,276,1907,3.59,52.76,6.8,106
2020-03-11,126628,4618,65435,56575,7548,345,2595,3.65,51.67,7.06,112
2020-03-12,133383,4930,66763,61690,6755,312,1328,3.7,50.05,7.38,114
2020-03-13,146673,5420,68688,72565,13290,490,1925,3.7,46.83,7.89,120
2020-03-14,157617,5843,71054,80720,10944,423,2366,3.71,45.08,8.22,134
2020-03-15,168876,6496,74463,87917,11259,653,3409,3.85,44.09,8.72,139
2020-03-16,183394,7178,76517,99699,14518,682,2054,3.91,41.72,9.38,143
2020-03-17,198691,7989,79261,111441,15297,811,2744,4.02,39.89,10.08,147
2020-03-18,216348,8907,81748,125693,17657,918,2487,4.12,37.79,10.9,151
2020-03-19,243464,10017,83389,150058,27116,1110,1641,4.11,34.25,12.01,155
2020-03-20,273008,11504,85834,175670,29546,1487,2445,4.21,31.44,13.4,162
2020-03-21,305423,13233,90080,202110,32421,1729,4246,4.33,29.49,14.69,164
2020-03-22,339895,14919,96297,228679,34472,1686,6217,4.39,28.33,15.49,169
2020-03-23,382799,16886,96785,269128,42904,1967,488,4.41,25.28,17.45,170
2020-03-24,424883,19201,106304,299378,42099,2315,9519,4.52,25.02,18.06,172
2020-03-25,475998,22022,112010,341966,51115,2821,5706,4.63,23.53,19.66,175
2020-03-26,537412,25058,120381,391973,61414,3036,8371,4.66,22.4,20.82,175
2020-03-27,601349,28538,129094,443717,63937,3480,8713,4.75,21.47,22.11,176
2020-03-28,670495,32374,137394,500727,69146,3836,8300,4.83,20.49,23.56,177
2020-03-29,726726,35838,146850,544038,56231,3464,9456,4.93,20.21,24.4,177
2020-03-30,791975,39895,162186,589894,65249,4057,15336,5.04,20.48,24.6,178
2020-03-31,870403,44661,174650,651092,78428,4766,12464,5.13,20.07,25.57,180
2020-04-01,951968,50714,190190,711064,81565,6053,15540,5.33,19.98,26.66,180
2020-04-02,1034275,56593,206922,770760,82307,5879,16732,5.47,20.01,27.35,181
2020-04-03,1118277,62818,221904,833555,84002,6225,14982,5.62,19.84,28.31,181
2020-04-04,1178363,68781,241911,867671,77162,5963,20007,5.84,20.53,28.43,181
2020-04-05,1250388,74091,255312,920985,72025,5310,13401,5.93,20.42,29.02,182
2020-04-06,1324899,79957,271776,973166,74511,5866,16464,6.03,20.51,29.42,183
2020-04-07,1393878,88306,294500,1011072,72468,8349,22724,6.34,21.13,29.99,183
2020-04-08,1475875,95132,323018,1057725,81997,6826,28518,6.45,21.89,29.45,183
2020-04-09,1562641,103003,347263,1112375,86766,7871,24245,6.59,22.22,29.66,183
2020-04-10,1649186,110565,368306,1170315,86545,7562,21043,6.7,22.33,30.02,184
2020-04-11,1724605,117084,393821,1213700,75419,6519,25515,6.79,22.84,29.73,184
2020-04-12,1843412,122922,412669,1307821,118828,5838,18848,6.67,22.39,29.79,184
2020-04-13,1915034,128975,439291,1346768,71622,6053,26622,6.73,22.94,29.36,184
2020-04-14,1999558,136189,463911,1399458,84524,7214,24620,6.81,23.2,29.36,184
2020-04-15,2077371,144551,499694,1433126,77813,8362,35783,6.96,24.05,28.93,184
2020-04-16,2171785,152026,529844,1489915,94414,7475,30150,7.0,24.4,28.69,184
2020-04-17,2259607,160597,555180,1543830,87822,8571,25336,7.11,24.57,28.93,184
2020-04-18,2337796,166983,578625,1592188,78190,6386,23445,7.14,24.75,28.86,184
2020-04-19,2414457,172419,609521,1632517,76661,5436,30896,7.14,25.24,28.29,184
2020-04-20,2490365,178322,631002,1681041,75908,5903,21481,7.16,25.34,28.26,184
2020-04-21,2566638,185709,665158,1715771,76273,7387,34156,7.24,25.92,27.92,184
2020-04-22,2648575,192772,693977,1761826,81937,7063,28819,7.28,26.2,27.78,184
2020-04-23,2731191,199676,722399,1809116,84325,6904,28422,7.31,26.45,27.64,184
2020-04-24,2815227,206617,772035,1836575,94070,6941,49636,7.34,27.42,26.76,184
2020-04-25,2898734,212567,798921,1887246,83507,5950,26886,7.33,27.56,26.61,184
2020-04-26,2969606,216860,826860,1925886,70873,4293,27939,7.3,27.84,26.23,184
2020-04-27,3040529,221730,853354,1965445,70923,4870,26494,7.29,28.07,25.98,184
2020-04-28,3116385,228524,885597,2002264,75856,6794,32243,7.33,28.42,25.8,184
2020-04-29,3193729,235484,926578,2031667,78799,6960,40981,7.37,29.01,25.41,184
2020-04-30,3277570,241546,990587,2045437,83841,6062,64009,7.37,30.22,24.38,185
2020-05-01,3366611,247086,1027398,2092127,89041,5540,36811,7.34,30.52,24.05,186
2020-05-02,3444964,252954,1066993,2125017,78520,5868,39595,7.34,30.97,23.71,186
2020-05-03,3519125,256815,1098418,2163892,74177,3861,31425,7.3,31.21,23.38,186
2020-05-04,3596510,261181,1131389,2203940,77390,4366,32971,7.26,31.46,23.08,186
2020-05-05,3676149,267419,1166886,2241844,79639,6238,35497,7.27,31.74,22.92,186
2020-05-06,3766683,274166,1211825,2280692,90534,6747,44939,7.28,32.17,22.62,186
2020-05-07,3855364,279841,1250270,2325253,90264,5675,38445,7.26,32.43,22.38,186
2020-05-08,3945797,285765,1285699,2374333,91913,5924,35429,7.24,32.58,22.23,186
2020-05-09,4030371,290382,1338109,2401880,84574,4617,52410,7.2,33.2,21.7,186
2020-05-10,4105624,294434,1371071,2440119,75253,4052,32962,7.17,33.39,21.47,186
2020-05-11,4181600,298258,1417058,2466284,76033,3824,45987,7.13,33.89,21.05,186
2020-05-12,4266957,304137,1453052,2509768,85377,5879,35994,7.13,34.05,20.93,186
2020-05-13,4351290,309590,1507802,2533898,84333,5453,54750,7.11,34.65,20.53,187
2020-05-14,4446959,315235,1546585,2585139,95670,5645,38783,7.09,34.78,20.38,187
2020-05-15,4543310,320957,1593867,2628486,96351,5722,47282,7.06,35.08,20.14,187
2020-05-16,4637421,325507,1649353,2662561,94111,4550,55486,7.02,35.57,19.74,187
2020-05-17,4715829,329094,1689628,2697107,78408,3587,40275,6.98,35.83,19.48,187
2020-05-18,4804897,333226,1741856,2729815,89068,4132,52228,6.94,36.25,19.13,187
2020-05-19,4900710,338357,1793090,2769263,96022,5131,51234,6.9,36.59,18.87,187
2020-05-20,5006099,343748,1851332,2811019,105389,5391,58242,6.87,36.98,18.57,187
2020-05-21,5111870,348701,1901614,2861555,105875,4953,50282,6.82,37.2,18.34,187
2020-05-22,5219114,354391,2009283,2855440,107244,5690,107669,6.79,38.5,17.64,187
2020-05-23,5323547,358772,2063407,2901368,104433,4381,54124,6.74,38.76,17.39,187
2020-05-24,5416801,362256,2118247,2936298,93693,3484,54840,6.69,39.11,17.1,187
2020-05-25,5504948,363762,2181303,2959883,88519,1506,63056,6.61,39.62,16.68,187
2020-05-26,5597804,368384,2235754,2993666,92856,4622,54451,6.58,39.94,16.48,187
2020-05-27,5700330,373744,2298183,3028403,102526,5360,62429,6.56,40.32,16.26,187
2020-05-28,5819995,378794,2364322,3076879,119665,5050,66139,6.51,40.62,16.02,187
2020-05-29,5941625,383955,2440641,3117029,121630,5161,76319,6.46,41.08,15.73,187
2020-05-30,6077041,388246,2510473,3178322,135416,4291,69832,6.39,41.31,15.47,187
2020-05-31,6180061,391387,2586157,3202517,103020,3141,75684,6.33,41.85,15.13,187
2020-06-01,6280296,395023,2640198,3245075,100235,3636,54041,6.29,42.04,14.96,187
2020-06-02,6403453,400307,2743671,3259475,123804,5284,103473,6.25,42.85,14.59,187
2020-06-03,6514705,405976,2821967,3286762,114478,5669,78296,6.23,43.32,14.39,187
2020-06-04,6652817,411408,2891354,3350055,138112,5432,69387,6.18,43.46,14.23,187
2020-06-05,6786463,416538,2959624,3410301,133646,5130,68270,6.14,43.61,14.07,187
2020-06-06,6915945,420638,3030803,3464504,129482,4100,71179,6.08,43.82,13.88,187
2020-06-07,7026914,423764,3085323,3517827,110969,3126,54520,6.03,43.91,13.73,187
2020-06-08,7129985,428095,3236258,3465632,103071,4331,150935,6.0,45.39,13.23,187
2020-06-09,7256297,433202,3317749,3505346,126312,5107,81491,5.97,45.72,13.06,187
2020-06-10,7393421,438638,3395814,3558969,137124,5436,78065,5.93,45.93,12.92,187
2020-06-11,7529261,443725,3480771,3604765,135840,5087,84957,5.89,46.23,12.75,187
2020-06-12,7656733,448457,3559587,3648689,127472,4732,78816,5.86,46.49,12.6,187
2020-06-13,7790659,452864,3644653,3693142,133926,4407,85066,5.81,46.78,12.43,187
2020-06-14,7922545,456522,3714652,3751371,131886,3658,69999,5.76,46.89,12.29,187
2020-06-15,8047366,460508,3794119,3792739,124821,3986,79467,5.72,47.15,12.14,187
2020-06-16,8191583,467638,3891546,3832399,144217,7130,97427,5.71,47.51,12.02,187
2020-06-17,8334714,473117,4008996,3852601,143131,5479,117450,5.68,48.1,11.8,187
2020-06-18,8477437,478443,4089642,3909352,142723,5326,80646,5.64,48.24,11.7,187
2020-06-19,8658514,484794,4184094,3989626,181225,6351,94452,5.6,48.32,11.59,187
2020-06-20,8844374,489232,4299435,4055707,185860,4438,115341,5.53,48.61,11.38,187
2020-06-21,8937379,493820,4367694,4075865,112801,4588,68259,5.53,48.87,11.31,187
2020-06-22,9079532,497614,4458854,4123064,142154,3794,91160,5.48,49.11,11.16,187
2020-06-23,9247901,503191,4562459,4182251,168372,5577,103605,5.44,49.34,11.03,187
2020-06-24,9419319,508663,4677798,4232858,171418,5472,115339,5.4,49.66,10.87,187
2020-06-25,9598762,513746,4770342,4314674,179443,5083,92544,5.35,49.7,10.77,187
2020-06-26,9791221,518822,4875999,4396400,192459,5076,105657,5.3,49.8,10.64,187
2020-06-27,9967566,523516,4982015,4462035,176345,4694,106016,5.25,49.98,10.51,187
2020-06-28,10136032,527091,5070969,4537972,168873,3575,88954,5.2,50.03,10.39,187
2020-06-29,10288518,531108,5164529,4592881,152486,4017,93560,5.16,50.2,10.28,187
2020-06-30,10472386,536343,5281441,4654602,183868,5235,116912,5.12,50.43,10.16,187
2020-07-01,10687360,541720,5397057,4748583,214974,5377,115616,5.07,50.5,10.04,187
2020-07-02,10891991,547195,5681512,4663284,204631,5475,284455,5.02,52.16,9.63,187
2020-07-03,11094488,552434,5791028,4751026,202498,5239,109516,4.98,52.2,9.54,187
2020-07-04,11284155,557196,5986505,4740454,189667,4762,195477,4.94,53.05,9.31,187
2020-07-05,11470136,560995,6105600,4803541,185981,3799,119095,4.89,53.23,9.19,187
2020-07-06,11637923,565214,6228909,4843800,167787,4219,123309,4.86,53.52,9.07,187
2020-07-07,11847615,571595,6373662,4902358,209692,6381,144753,4.82,53.8,8.97,187
2020-07-08,12062729,577225,6531272,4954232,215114,5630,157610,4.79,54.14,8.84,187
2020-07-09,12286931,583029,6665597,5038305,224202,5804,134325,4.75,54.25,8.75,187
2020-07-10,12520122,588771,6804668,5126683,233191,5742,139071,4.7,54.35,8.65,187
2020-07-11,12732942,593874,6930037,5209031,212820,5103,125369,4.66,54.43,8.57,187
